z,residual
2.179000000000000034e-02,-2.235437429235618723e+00
2.180999999999999953e-02,-1.201815098654133995e-01
2.180999999999999953e-02,2.350967467061846825e-02
2.187000000000000055e-02,-2.417743797384971638e-01
2.187000000000000055e-02,-3.688999395559214300e-01
2.187000000000000055e-02,-3.081739550936560268e-01
2.193000000000000158e-02,-5.323410664404343295e-01
2.202000000000000138e-02,3.755114263414141007e-01
2.206999999999999934e-02,-2.287453217979437941e-03
2.208999999999999853e-02,-3.724268267769675345e-01
2.213999999999999996e-02,-2.720450321794589676e-01
2.213999999999999996e-02,2.130387492904164959e-01
2.216999999999999874e-02,-2.155520306888815130e-01
2.220000000000000098e-02,4.433270307047009196e-01
2.222000000000000017e-02,9.529799874090462142e-01
2.223999999999999935e-02,-4.238730700690236386e-01
2.225999999999999854e-02,1.501805819164800382e-01
2.238000000000000059e-02,6.841397171552044965e-01
2.245000000000000120e-02,4.971633851853877184e-01
2.253000000000000141e-02,8.102444801316051048e-01
2.253000000000000141e-02,-5.543346973784171183e-01
2.256999999999999978e-02,3.250324154455287995e-01
2.259999999999999856e-02,4.748904214860032447e-01
2.259999999999999856e-02,4.170952416574634225e-01
2.262000000000000122e-02,3.206587211170099094e-02
2.263000000000000081e-02,-6.597218567405795098e-02
2.280000000000000082e-02,7.208980809507409271e-01
2.280000000000000082e-02,2.285255100882802592e-01
2.287000000000000144e-02,1.027793040289765869e-01
2.291999999999999940e-02,5.103937140541924267e-01
2.295000000000000165e-02,-9.677866726777244466e-01
2.295000000000000165e-02,-1.703733285060228697e+00
2.296000000000000124e-02,3.131977793001778365e-01
2.307000000000000023e-02,4.271045063312515211e-01
2.308999999999999941e-02,-3.279087352204741457e-01
2.315000000000000044e-02,-2.578994212536679376e-01
2.315000000000000044e-02,-3.933768728050113239e-01
2.316999999999999962e-02,3.512578697609648470e-01
2.324000000000000024e-02,-4.915527362525108912e-01
2.327999999999999861e-02,1.677675657327160064e-01
2.327999999999999861e-02,3.175919336610310562e-01
2.327999999999999861e-02,1.801555035078490352e-01
2.331000000000000086e-02,-1.409904826447328841e+00
